,obx inversion,obx exchange,pmx inversion,pmx exchange
1,3285.227825,3306.29214,3278.674214,3209.01919
2,3170.377054,3150.839517,3139.860988,3072.435232
3,3062.840247,2970.224768,3102.222642,3082.503841
4,3025.405362,2824.949552,3074.56197,2992.588156
5,2884.907791,2789.61604,3019.858145,2997.780799
6,2831.801737,2781.460302,3034.463519,2987.261512
7,2796.364771,2781.460302,2946.857493,2950.826059
8,2781.460302,2781.460302,2888.802908,2886.353424
9,2781.460302,2781.460302,2888.802908,2848.113213
10,2781.460302,2781.460302,2888.802908,2846.706206
11,2781.460302,2781.460302,2880.246092,2833.208743
12,2781.460302,2781.460302,2873.857174,2788.495334
13,2781.460302,2781.460302,2883.079203,2784.274314
14,2781.460302,2781.460302,2867.391676,2781.460302
15,2781.460302,2781.460302,2870.148206,2781.460302
16,2781.460302,2781.460302,2887.108675,2781.460302
17,2781.460302,2781.460302,2887.108675,2781.460302
18,2781.460302,2781.460302,2871.555212,2781.460302
19,2781.460302,2781.460302,2867.315095,2781.460302
20,2781.460302,2781.460302,2874.388323,2781.460302
21,2781.460302,2781.460302,2861.667971,2781.460302
22,2781.460302,2781.460302,2848.947618,2781.460302
23,2781.460302,2781.460302,2848.947618,2781.460302
24,2781.460302,2781.460302,2848.947618,2781.460302
25,2781.460302,2781.460302,2848.947618,2781.460302
26,2781.460302,2781.460302,2848.947618,2781.460302
27,2781.460302,2781.460302,2848.947618,2781.460302
28,2781.460302,2781.460302,2848.947618,2781.460302
29,2781.460302,2781.460302,2848.947618,2781.460302
30,2781.460302,2781.460302,2848.947618,2781.460302
31,2781.460302,2781.460302,2848.947618,2781.460302
32,2781.460302,2781.460302,2848.947618,2781.460302
33,2781.460302,2781.460302,2848.947618,2781.460302
34,2781.460302,2781.460302,2848.947618,2781.460302
35,2781.460302,2781.460302,2848.947618,2781.460302
36,2781.460302,2781.460302,2848.947618,2781.460302
37,2781.460302,2781.460302,2848.947618,2781.460302
38,2781.460302,2781.460302,2848.947618,2781.460302
39,2781.460302,2781.460302,2848.947618,2781.460302
40,2781.460302,2781.460302,2848.947618,2781.460302
41,2781.460302,2781.460302,2848.947618,2781.460302
42,2781.460302,2781.460302,2848.947618,2781.460302
43,2781.460302,2781.460302,2848.947618,2781.460302
44,2781.460302,2781.460302,2848.947618,2781.460302
45,2781.460302,2781.460302,2848.947618,2781.460302
46,2781.460302,2781.460302,2848.947618,2781.460302
47,2781.460302,2781.460302,2848.947618,2781.460302
48,2781.460302,2781.460302,2848.947618,2781.460302
49,2781.460302,2781.460302,2848.947618,2781.460302
50,2781.460302,2781.460302,2848.947618,2781.460302
51,2781.460302,2781.460302,2848.947618,2781.460302
52,2781.460302,2781.460302,2848.947618,2781.460302
53,2781.460302,2781.460302,2848.947618,2781.460302
54,2781.460302,2781.460302,2848.947618,2781.460302
55,2781.460302,2781.460302,2848.947618,2781.460302
56,2781.460302,2781.460302,2848.947618,2781.460302
57,2781.460302,2781.460302,2848.947618,2781.460302
58,2781.460302,2781.460302,2848.947618,2781.460302
59,2781.460302,2781.460302,2848.947618,2781.460302
60,2781.460302,2781.460302,2848.947618,2781.460302
61,2781.460302,2781.460302,2848.947618,2781.460302
62,2781.460302,2781.460302,2848.947618,2781.460302
63,2781.460302,2781.460302,2848.947618,2781.460302
64,2781.460302,2781.460302,2848.947618,2781.460302
65,2781.460302,2781.460302,2848.947618,2781.460302
66,2781.460302,2781.460302,2848.947618,2781.460302
67,2781.460302,2781.460302,2848.947618,2781.460302
68,2781.460302,2781.460302,2848.947618,2781.460302
69,2781.460302,2781.460302,2848.947618,2781.460302
70,2781.460302,2781.460302,2848.947618,2781.460302
71,2781.460302,2781.460302,2848.947618,2781.460302
72,2781.460302,2781.460302,2848.947618,2781.460302
73,2781.460302,2781.460302,2848.947618,2781.460302
74,2781.460302,2781.460302,2848.947618,2781.460302
75,2781.460302,2781.460302,2848.947618,2781.460302
76,2781.460302,2781.460302,2848.947618,2781.460302
77,2781.460302,2781.460302,2848.947618,2781.460302
78,2781.460302,2781.460302,2848.947618,2781.460302
79,2781.460302,2781.460302,2848.947618,2781.460302
80,2781.460302,2781.460302,2848.947618,2781.460302
81,2781.460302,2781.460302,2848.947618,2781.460302
82,2781.460302,2781.460302,2848.947618,2781.460302
83,2781.460302,2781.460302,2848.947618,2781.460302
84,2781.460302,2781.460302,2848.947618,2781.460302
85,2781.460302,2781.460302,2848.947618,2781.460302
86,2781.460302,2781.460302,2848.947618,2781.460302
87,2781.460302,2781.460302,2848.947618,2781.460302
88,2781.460302,2781.460302,2848.947618,2781.460302
89,2781.460302,2781.460302,2848.947618,2781.460302
90,2781.460302,2781.460302,2848.947618,2781.460302
91,2781.460302,2781.460302,2848.947618,2781.460302
92,2781.460302,2781.460302,2848.947618,2781.460302
93,2781.460302,2781.460302,2848.947618,2781.460302
94,2781.460302,2781.460302,2848.947618,2781.460302
95,2781.460302,2781.460302,2848.947618,2781.460302
96,2781.460302,2781.460302,2848.947618,2781.460302
97,2781.460302,2781.460302,2848.947618,2781.460302
98,2781.460302,2781.460302,2848.947618,2781.460302
99,2781.460302,2781.460302,2848.947618,2781.460302
100,2781.460302,2781.460302,2848.947618,2781.460302
101,2781.460302,2781.460302,2848.947618,2781.460302
102,2781.460302,2781.460302,2848.947618,2781.460302
103,2781.460302,2781.460302,2848.947618,2781.460302
104,2781.460302,2781.460302,2848.947618,2781.460302
105,2781.460302,2781.460302,2848.947618,2781.460302
106,2781.460302,2781.460302,2848.947618,2781.460302
107,2781.460302,2781.460302,2848.947618,2781.460302
108,2781.460302,2781.460302,2848.947618,2781.460302
109,2781.460302,2781.460302,2848.947618,2781.460302
110,2781.460302,2781.460302,2848.947618,2781.460302
111,2781.460302,2781.460302,2848.947618,2781.460302
112,2781.460302,2781.460302,2848.947618,2781.460302
113,2781.460302,2781.460302,2848.947618,2781.460302
114,2781.460302,2781.460302,2848.947618,2781.460302
115,2781.460302,2781.460302,2848.947618,2781.460302
116,2781.460302,2781.460302,2848.947618,2781.460302
117,2781.460302,2781.460302,2848.947618,2781.460302
118,2781.460302,2781.460302,2848.947618,2781.460302
119,2781.460302,2781.460302,2848.947618,2781.460302
120,2781.460302,2781.460302,2848.947618,2781.460302
121,2781.460302,2781.460302,2848.947618,2781.460302
122,2781.460302,2781.460302,2848.947618,2781.460302
123,2781.460302,2781.460302,2848.947618,2781.460302
124,2781.460302,2781.460302,2848.947618,2781.460302
125,2781.460302,2781.460302,2848.947618,2781.460302
126,2781.460302,2781.460302,2848.947618,2781.460302
127,2781.460302,2781.460302,2848.947618,2781.460302
,2781.460302,2781.460302,2848.947618,2781.460302
,2781.460302,2781.460302,2848.947618,2781.460302
,2781.460302,2781.460302,2848.947618,2781.460302
,2781.460302,2781.460302,2848.947618,2781.460302
,2781.460302,2781.460302,2848.947618,2781.460302
,2781.460302,2781.460302,2848.947618,2781.460302
,2781.460302,2781.460302,2848.947618,2781.460302
,2781.460302,2781.460302,2848.947618,2781.460302
,2781.460302,2781.460302,2848.947618,2781.460302
,2781.460302,2781.460302,2848.947618,2781.460302
,2781.460302,2781.460302,2848.947618,2781.460302
,2781.460302,2781.460302,2848.947618,2781.460302
,2781.460302,2781.460302,2848.947618,2781.460302
,2781.460302,2781.460302,2848.947618,2781.460302
,2781.460302,2781.460302,2848.947618,2781.460302
,2781.460302,2781.460302,2848.947618,2781.460302
,2781.460302,2781.460302,2848.947618,2781.460302
,2781.460302,2781.460302,2848.947618,2781.460302
,2781.460302,2781.460302,2848.947618,2781.460302
,2781.460302,2781.460302,2848.947618,2781.460302
,2781.460302,2781.460302,2848.947618,2781.460302
,2781.460302,2781.460302,2848.947618,2781.460302
,2781.460302,2781.460302,2848.947618,2781.460302
,2781.460302,2781.460302,2848.947618,2781.460302
,2781.460302,2781.460302,2848.947618,2781.460302
,2781.460302,2781.460302,2848.947618,2781.460302
,2781.460302,2781.460302,2848.947618,2781.460302
,2781.460302,2781.460302,2848.947618,2781.460302
,2781.460302,2781.460302,2848.947618,2781.460302
,2781.460302,2781.460302,2848.947618,2781.460302
,2781.460302,2781.460302,2848.947618,2781.460302
